study_id,study_name,trial_id,trial_number,param_name,param_value,value
8,disaster_4,21,12,learning_rate,0.000010104324295319348,0.7703568161024702
8,disaster_4,21,12,lr_scheduler_type,3,0.7703568161024702
8,disaster_4,21,12,num_epochs,8,0.7703568161024702
8,disaster_4,21,12,weight_decay,0.03267958531285999,0.7703568161024702
8,disaster_4,22,13,batch_size,1,0.6435331230283913
8,disaster_4,22,13,dropout_rate,0.4946145920933381,0.6435331230283913
8,disaster_4,22,13,learning_rate,0.0000011953746895561178,0.6435331230283913
8,disaster_4,22,13,lr_scheduler_type,0,0.6435331230283913
8,disaster_4,22,13,num_epochs,8,0.6435331230283913
8,disaster_4,22,13,weight_decay,0.004279332229906674,0.6435331230283913
8,disaster_4,23,14,batch_size,0,0.7617449664429529
8,disaster_4,23,14,dropout_rate,0.46986936527378487,0.7617449664429529
8,disaster_4,23,14,learning_rate,0.0000011160364548512652,0.7617449664429529
8,disaster_4,23,14,lr_scheduler_type,0,0.7617449664429529
8,disaster_4,23,14,num_epochs,7,0.7617449664429529
8,disaster_4,23,14,weight_decay,0.009384292876567078,0.7617449664429529
8,disaster_4,24,15,batch_size,0,0.6165413533834587
8,disaster_4,24,15,dropout_rate,0.47503770131957135,0.6165413533834587
8,disaster_4,24,15,learning_rate,0.0000010734199547151083,0.6165413533834587
8,disaster_4,24,15,lr_scheduler_type,0,0.6165413533834587
8,disaster_4,24,15,num_epochs,5,0.6165413533834587
8,disaster_4,24,15,weight_decay,0.005656819693306038,0.6165413533834587
8,disaster_4,25,16,batch_size,0,0.6523605150214592
8,disaster_4,25,16,dropout_rate,0.47734020874910876,0.6523605150214592
8,disaster_4,25,16,learning_rate,0.000001076285899252668,0.6523605150214592
8,disaster_4,25,16,lr_scheduler_type,0,0.6523605150214592
8,disaster_4,25,16,num_epochs,7,0.6523605150214592
8,disaster_4,25,16,weight_decay,0.0007147450153181883,0.6523605150214592
8,disaster_4,26,17,batch_size,0,0.7770034843205574
8,disaster_4,26,17,dropout_rate,0.4377291941520558,0.7770034843205574
8,disaster_4,26,17,learning_rate,0.0000013678687853519092,0.7770034843205574
8,disaster_4,26,17,lr_scheduler_type,0,0.7770034843205574
8,disaster_4,26,17,num_epochs,7,0.7770034843205574
8,disaster_4,26,17,weight_decay,0.07596284245333228,0.7770034843205574
8,disaster_4,28,19,batch_size,2,0.7641843971631206
8,disaster_4,28,19,dropout_rate,0.4091595186078007,0.7641843971631206
8,disaster_4,28,19,learning_rate,0.0000020921715966781044,0.7641843971631206
8,disaster_4,28,19,lr_scheduler_type,2,0.7641843971631206
8,disaster_4,28,19,num_epochs,7,0.7641843971631206
8,disaster_4,28,19,weight_decay,0.07202372548933492,0.7641843971631206
8,disaster_4,29,20,batch_size,2,0.7711442786069652
8,disaster_4,29,20,dropout_rate,0.4085426153556403,0.7711442786069652
8,disaster_4,29,20,learning_rate,0.0000019846625019986007,0.7711442786069652
8,disaster_4,29,20,lr_scheduler_type,2,0.7711442786069652
8,disaster_4,29,20,num_epochs,8,0.7711442786069652
8,disaster_4,29,20,weight_decay,0.08232480496396345,0.7711442786069652
8,disaster_4,30,21,batch_size,2,0.7706422018348623
8,disaster_4,30,21,dropout_rate,0.40516135065053094,0.7706422018348623
8,disaster_4,30,21,learning_rate,0.000005904530687945438,0.7706422018348623
8,disaster_4,30,21,lr_scheduler_type,2,0.7706422018348623
8,disaster_4,30,21,num_epochs,8,0.7706422018348623
8,disaster_4,30,21,weight_decay,0.06828070961054873,0.7706422018348623
8,disaster_4,31,22,batch_size,2,0.7751430907604251
8,disaster_4,31,22,dropout_rate,0.3435314254780687,0.7751430907604251
8,disaster_4,31,22,learning_rate,0.000006314309479402871,0.7751430907604251
8,disaster_4,31,22,lr_scheduler_type,2,0.7751430907604251
8,disaster_4,31,22,num_epochs,9,0.7751430907604251
8,disaster_4,31,22,weight_decay,0.09700162296195643,0.7751430907604251
8,disaster_4,32,23,batch_size,2,0.7802385008517887
8,disaster_4,32,23,dropout_rate,0.346489204281393,0.7802385008517887
8,disaster_4,32,23,learning_rate,0.000005863941187320289,0.7802385008517887
8,disaster_4,32,23,lr_scheduler_type,2,0.7802385008517887
8,disaster_4,32,23,num_epochs,9,0.7802385008517887
8,disaster_4,32,23,weight_decay,0.09700185911263151,0.7802385008517887
8,disaster_4,33,24,batch_size,1,0.7750439367311072
8,disaster_4,33,24,dropout_rate,0.3485687111762696,0.7750439367311072
8,disaster_4,33,24,learning_rate,0.000007079521183240447,0.7750439367311072
8,disaster_4,33,24,lr_scheduler_type,2,0.7750439367311072
8,disaster_4,33,24,num_epochs,9,0.7750439367311072
8,disaster_4,33,24,weight_decay,0.01813704666543612,0.7750439367311072
8,disaster_4,34,25,batch_size,0,0.7795414462081129
8,disaster_4,34,25,dropout_rate,0.3325755748208305,0.7795414462081129
8,disaster_4,34,25,learning_rate,0.0000031702765321360915,0.7795414462081129
8,disaster_4,34,25,lr_scheduler_type,2,0.7795414462081129
8,disaster_4,34,25,num_epochs,5,0.7795414462081129
8,disaster_4,34,25,weight_decay,0.028982168844544572,0.7795414462081129
8,disaster_4,37,28,batch_size,2,0.7723785166240409
8,disaster_4,37,28,dropout_rate,0.2674973733124931,0.7723785166240409
8,disaster_4,37,28,learning_rate,0.000014610834770823498,0.7723785166240409
8,disaster_4,37,28,lr_scheduler_type,2,0.7723785166240409
8,disaster_4,37,28,num_epochs,10,0.7723785166240409
8,disaster_4,37,28,weight_decay,0.08532862164996348,0.7723785166240409
8,disaster_4,39,29,batch_size,2,0.7705334462320068
8,disaster_4,39,29,dropout_rate,0.25949461734806867,0.7705334462320068
8,disaster_4,39,29,learning_rate,0.000014331476940965594,0.7705334462320068
8,disaster_4,39,29,lr_scheduler_type,2,0.7705334462320068
8,disaster_4,39,29,num_epochs,10,0.7705334462320068
8,disaster_4,39,29,weight_decay,0.09061338679885574,0.7705334462320068
8,disaster_4,40,30,batch_size,2,0.759322033898305
8,disaster_4,40,30,dropout_rate,0.2584616593475377,0.759322033898305
8,disaster_4,40,30,learning_rate,0.000012887726743992683,0.759322033898305
8,disaster_4,40,30,lr_scheduler_type,2,0.759322033898305
8,disaster_4,40,30,num_epochs,5,0.759322033898305
8,disaster_4,40,30,weight_decay,0.08995880863665942,0.759322033898305
8,disaster_4,42,31,batch_size,2,0.7752332485156913
8,disaster_4,42,31,dropout_rate,0.2798077043366766,0.7752332485156913
8,disaster_4,42,31,learning_rate,0.0000042669636287540175,0.7752332485156913
8,disaster_4,42,31,lr_scheduler_type,2,0.7752332485156913
8,disaster_4,42,31,num_epochs,6,0.7752332485156913
8,disaster_4,42,31,weight_decay,0.033628715346946905,0.7752332485156913
8,disaster_4,43,32,batch_size,2,0.774869109947644
8,disaster_4,43,32,dropout_rate,0.3093352670966169,0.774869109947644
8,disaster_4,43,32,learning_rate,0.000003835115793044618,0.774869109947644
8,disaster_4,43,32,lr_scheduler_type,0,0.774869109947644
8,disaster_4,43,32,num_epochs,6,0.774869109947644
8,disaster_4,43,32,weight_decay,0.03070137492517036,0.774869109947644
8,disaster_4,45,33,batch_size,2,0.774586597040905
8,disaster_4,45,33,dropout_rate,0.31991656585182726,0.774586597040905
8,disaster_4,45,33,learning_rate,0.000004643306704673693,0.774586597040905
8,disaster_4,45,33,lr_scheduler_type,0,0.774586597040905
8,disaster_4,45,33,num_epochs,6,0.774586597040905
8,disaster_4,45,33,weight_decay,0.0343991828440194,0.774586597040905
8,disaster_4,46,34,batch_size,1,0.7782290820471163
8,disaster_4,46,34,dropout_rate,0.37713144334950977,0.7782290820471163
8,disaster_4,46,34,learning_rate,0.000008459017321935918,0.7782290820471163
8,disaster_4,46,34,lr_scheduler_type,1,0.7782290820471163
8,disaster_4,46,34,num_epochs,4,0.7782290820471163
8,disaster_4,46,34,weight_decay,0.06624990177757582,0.7782290820471163
8,disaster_4,47,35,batch_size,1,0.7673397717295873
8,disaster_4,47,35,dropout_rate,0.3812486305461022,0.7673397717295873
8,disaster_4,47,35,learning_rate,0.00000817485847674236,0.7673397717295873
8,disaster_4,47,35,lr_scheduler_type,1,0.7673397717295873
8,disaster_4,47,35,num_epochs,4,0.7673397717295873
8,disaster_4,47,35,weight_decay,0.06658459371520631,0.7673397717295873
8,disaster_4,49,36,batch_size,0,0.7552320291173794
8,disaster_4,49,36,dropout_rate,0.3747554344103061,0.7552320291173794
8,disaster_4,49,36,learning_rate,0.000002298862802021001,0.7552320291173794
8,disaster_4,49,36,lr_scheduler_type,1,0.7552320291173794
8,disaster_4,49,36,num_epochs,4,0.7552320291173794
8,disaster_4,49,36,weight_decay,0.01534809533330747,0.7552320291173794
8,disaster_4,50,37,batch_size,0,0.7820844099913866
8,disaster_4,50,37,dropout_rate,0.3837729048424013,0.7820844099913866
8,disaster_4,50,37,learning_rate,0.000002404171471120537,0.7820844099913866
8,disaster_4,50,37,lr_scheduler_type,1,0.7820844099913866
8,disaster_4,50,37,num_epochs,4,0.7820844099913866
8,disaster_4,50,37,weight_decay,0.014673357524430759,0.7820844099913866
8,disaster_4,51,38,batch_size,1,0.7761437908496731
8,disaster_4,51,38,dropout_rate,0.37780467657569416,0.7761437908496731
8,disaster_4,51,38,learning_rate,0.000008091816729592325,0.7761437908496731
8,disaster_4,51,38,lr_scheduler_type,1,0.7761437908496731
8,disaster_4,51,38,num_epochs,4,0.7761437908496731
8,disaster_4,51,38,weight_decay,0.06504519309780259,0.7761437908496731
8,disaster_4,52,39,batch_size,1,0.781491002570694
8,disaster_4,52,39,dropout_rate,0.37592173344107493,0.781491002570694
8,disaster_4,52,39,learning_rate,0.000005509468268751441,0.781491002570694
8,disaster_4,52,39,lr_scheduler_type,1,0.781491002570694
8,disaster_4,52,39,num_epochs,3,0.781491002570694
