trial_id,study_id,study_name,param_name,param_value,score
12,8,disaster_4,batch_size,2,0.7478559176672384
12,8,disaster_4,dropout_rate,0.22230894622997932,0.7478559176672384
12,8,disaster_4,learning_rate,0.000052701940337051276,0.7478559176672384
12,8,disaster_4,lr_scheduler_type,1,0.7478559176672384
12,8,disaster_4,num_epochs,10,0.7478559176672384
12,8,disaster_4,weight_decay,0.059269496758800326,0.7478559176672384
13,8,disaster_4,batch_size,2,0.7777777777777779
13,8,disaster_4,dropout_rate,0.338193347556866,0.7777777777777779
13,8,disaster_4,learning_rate,0.000009714796730426122,0.7777777777777779
13,8,disaster_4,lr_scheduler_type,0,0.7777777777777779
13,8,disaster_4,num_epochs,6,0.7777777777777779
13,8,disaster_4,weight_decay,0.07299751816970888,0.7777777777777779
14,8,disaster_4,batch_size,0,0.7774846086191732
14,8,disaster_4,dropout_rate,0.3302508694119678,0.7774846086191732
14,8,disaster_4,learning_rate,0.000003303023074652399,0.7774846086191732
14,8,disaster_4,lr_scheduler_type,2,0.7774846086191732
14,8,disaster_4,num_epochs,5,0.7774846086191732
14,8,disaster_4,weight_decay,0.04489180441920119,0.7774846086191732
15,8,disaster_4,batch_size,2,0.766355140186916
15,8,disaster_4,dropout_rate,0.29618143546675124,0.766355140186916
15,8,disaster_4,learning_rate,0.000011957350078564344,0.766355140186916
15,8,disaster_4,lr_scheduler_type,3,0.766355140186916
15,8,disaster_4,num_epochs,9,0.766355140186916
15,8,disaster_4,weight_decay,0.09355226559931043,0.766355140186916
16,8,disaster_4,batch_size,1,0.7720125786163522
16,8,disaster_4,dropout_rate,0.38338724478958663,0.7720125786163522
16,8,disaster_4,learning_rate,0.00001879609097639185,0.7720125786163522
16,8,disaster_4,lr_scheduler_type,3,0.7720125786163522
16,8,disaster_4,num_epochs,6,0.7720125786163522
16,8,disaster_4,weight_decay,0.048357349478152234,0.7720125786163522
17,8,disaster_4,batch_size,0,0.7611408199643493
17,8,disaster_4,dropout_rate,0.36227803392358815,0.7611408199643493
17,8,disaster_4,learning_rate,0.000027071620877026125,0.7611408199643493
17,8,disaster_4,lr_scheduler_type,2,0.7611408199643493
17,8,disaster_4,num_epochs,4,0.7611408199643493
17,8,disaster_4,weight_decay,0.043465342731741775,0.7611408199643493
18,8,disaster_4,batch_size,0,0.7776809067131648
18,8,disaster_4,dropout_rate,0.3510697015579798,0.7776809067131648
18,8,disaster_4,learning_rate,0.000002317005366375166,0.7776809067131648
18,8,disaster_4,lr_scheduler_type,2,0.7776809067131648
18,8,disaster_4,num_epochs,9,0.7776809067131648
18,8,disaster_4,weight_decay,0.004227167795116671,0.7776809067131648
19,8,disaster_4,batch_size,2,0.7551369863013699
19,8,disaster_4,dropout_rate,0.29871230530055926,0.7551369863013699
19,8,disaster_4,learning_rate,0.0000653749564381372,0.7551369863013699
19,8,disaster_4,lr_scheduler_type,0,0.7551369863013699
19,8,disaster_4,num_epochs,4,0.7551369863013699
19,8,disaster_4,weight_decay,0.058556930467604296,0.7551369863013699
20,8,disaster_4,batch_size,1,0.7584269662921347
20,8,disaster_4,dropout_rate,0.13230280453924662,0.7584269662921347
20,8,disaster_4,learning_rate,0.000002883029891871712,0.7584269662921347
20,8,disaster_4,lr_scheduler_type,3,0.7584269662921347
20,8,disaster_4,num_epochs,3,0.7584269662921347
20,8,disaster_4,weight_decay,0.05802640724252675,0.7584269662921347
21,8,disaster_4,batch_size,2,0.7703568161024702
21,8,disaster_4,dropout_rate,0.3002259241660593,0.7703568161024702
21,8,disaster_4,learning_rate,0.000010104324295319348,0.7703568161024702
21,8,disaster_4,lr_scheduler_type,3,0.7703568161024702
21,8,disaster_4,num_epochs,8,0.7703568161024702
21,8,disaster_4,weight_decay,0.03267958531285999,0.7703568161024702
22,8,disaster_4,batch_size,1,0.6435331230283913
22,8,disaster_4,dropout_rate,0.4946145920933381,0.6435331230283913
22,8,disaster_4,learning_rate,0.0000011953746895561178,0.6435331230283913
22,8,disaster_4,lr_scheduler_type,0,0.6435331230283913
22,8,disaster_4,num_epochs,8,0.6435331230283913
22,8,disaster_4,weight_decay,0.004279332229906674,0.6435331230283913
23,8,disaster_4,batch_size,0,0.7617449664429529
23,8,disaster_4,dropout_rate,0.46986936527378487,0.7617449664429529
23,8,disaster_4,learning_rate,0.0000011160364548512652,0.7617449664429529
23,8,disaster_4,lr_scheduler_type,0,0.7617449664429529
23,8,disaster_4,num_epochs,7,0.7617449664429529
23,8,disaster_4,weight_decay,0.009384292876567078,0.7617449664429529
24,8,disaster_4,batch_size,0,0.6165413533834587
24,8,disaster_4,dropout_rate,0.47503770131957135,0.6165413533834587
24,8,disaster_4,learning_rate,0.0000010734199547151083,0.6165413533834587
24,8,disaster_4,lr_scheduler_type,0,0.6165413533834587
24,8,disaster_4,num_epochs,5,0.6165413533834587
24,8,disaster_4,weight_decay,0.005656819693306038,0.6165413533834587
25,8,disaster_4,batch_size,0,0.6523605150214592
25,8,disaster_4,dropout_rate,0.47734020874910876,0.6523605150214592
25,8,disaster_4,learning_rate,0.000001076285899252668,0.6523605150214592
25,8,disaster_4,lr_scheduler_type,0,0.6523605150214592
25,8,disaster_4,num_epochs,7,0.6523605150214592
25,8,disaster_4,weight_decay,0.0007147450153181883,0.6523605150214592
26,8,disaster_4,batch_size,0,0.7770034843205574
26,8,disaster_4,dropout_rate,0.4377291941520558,0.7770034843205574
26,8,disaster_4,learning_rate,0.0000013678687853519092,0.7770034843205574
26,8,disaster_4,lr_scheduler_type,0,0.7770034843205574
26,8,disaster_4,num_epochs,7,0.7770034843205574
26,8,disaster_4,weight_decay,0.07596284245333228,0.7770034843205574
27,8,disaster_4,batch_size,0,"In Progress Or Failed"
27,8,disaster_4,dropout_rate,0.4179307805489333,"In Progress Or Failed"
27,8,disaster_4,learning_rate,0.000005506419806080186,"In Progress Or Failed"
27,8,disaster_4,lr_scheduler_type,2,"In Progress Or Failed"
27,8,disaster_4,num_epochs,7,"In Progress Or Failed"
27,8,disaster_4,weight_decay,0.07587476329512143,"In Progress Or Failed"
28,8,disaster_4,batch_size,2,0.7641843971631206
28,8,disaster_4,dropout_rate,0.4091595186078007,0.7641843971631206
28,8,disaster_4,learning_rate,0.0000020921715966781044,0.7641843971631206
28,8,disaster_4,lr_scheduler_type,2,0.7641843971631206
28,8,disaster_4,num_epochs,7,0.7641843971631206
28,8,disaster_4,weight_decay,0.07202372548933492,0.7641843971631206
29,8,disaster_4,batch_size,2,0.7711442786069652
29,8,disaster_4,dropout_rate,0.4085426153556403,0.7711442786069652
29,8,disaster_4,learning_rate,0.0000019846625019986007,0.7711442786069652
29,8,disaster_4,lr_scheduler_type,2,0.7711442786069652
29,8,disaster_4,num_epochs,8,0.7711442786069652
29,8,disaster_4,weight_decay,0.08232480496396345,0.7711442786069652
30,8,disaster_4,batch_size,2,0.7706422018348623
30,8,disaster_4,dropout_rate,0.40516135065053094,0.7706422018348623
30,8,disaster_4,learning_rate,0.000005904530687945438,0.7706422018348623
30,8,disaster_4,lr_scheduler_type,2,0.7706422018348623
30,8,disaster_4,num_epochs,8,0.7706422018348623
30,8,disaster_4,weight_decay,0.06828070961054873,0.7706422018348623
31,8,disaster_4,batch_size,2,0.7751430907604251
31,8,disaster_4,dropout_rate,0.3435314254780687,0.7751430907604251
31,8,disaster_4,learning_rate,0.000006314309479402871,0.7751430907604251
31,8,disaster_4,lr_scheduler_type,2,0.7751430907604251
31,8,disaster_4,num_epochs,9,0.7751430907604251
31,8,disaster_4,weight_decay,0.09700162296195643,0.7751430907604251
32,8,disaster_4,batch_size,2,0.7802385008517887
32,8,disaster_4,dropout_rate,0.346489204281393,0.7802385008517887
32,8,disaster_4,learning_rate,0.000005863941187320289,0.7802385008517887
32,8,disaster_4,lr_scheduler_type,2,0.7802385008517887
32,8,disaster_4,num_epochs,9,0.7802385008517887
32,8,disaster_4,weight_decay,0.09700185911263151,0.7802385008517887
33,8,disaster_4,batch_size,1,0.7750439367311072
33,8,disaster_4,dropout_rate,0.3485687111762696,0.7750439367311072
33,8,disaster_4,learning_rate,0.000007079521183240447,0.7750439367311072
33,8,disaster_4,lr_scheduler_type,2,0.7750439367311072
33,8,disaster_4,num_epochs,9,0.7750439367311072
33,8,disaster_4,weight_decay,0.01813704666543612,0.7750439367311072
34,8,disaster_4,batch_size,0,0.7795414462081129
34,8,disaster_4,dropout_rate,0.3325755748208305,0.7795414462081129
34,8,disaster_4,learning_rate,0.0000031702765321360915,0.7795414462081129
34,8,disaster_4,lr_scheduler_type,2,0.7795414462081129
34,8,disaster_4,num_epochs,5,0.7795414462081129
34,8,disaster_4,weight_decay,0.028982168844544572,0.7795414462081129
35,8,disaster_4,batch_size,0,"In Progress Or Failed"
35,8,disaster_4,dropout_rate,0.33069662320707643,"In Progress Or Failed"
